timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1769641200,Jan 28 2026 - 11:00pm,complete,N/A,River Plate,Gimnasia La Plata,Pablo Dóvalo,2,3.00,3.00,1.80,1.61,2,0,2,1,1,0,"41,50","",6,4,2,1,2,2,0,3,3,1,17,3,8,1,9,2,12,11,71,29,2.26,0.98,1.90,0.33,2.00,50,50,50,0,0,0,50,50,100,10.00,4.00,1.51,4.00,7.03,1.36,2.20,3.90,7.40,2.26,1.57,Estadio Monumental Antonio Vespucio Liberti
1769649300,Jan 29 2026 - 1:15am,complete,N/A,Estudiantes,Boca Juniors,Pablo Echavarría,2,1.00,3.00,1.82,1.76,2,1,3,2,2,0,"28,39","81",5,7,2,0,1,0,0,2,0,1,12,10,7,3,5,7,13,8,34,66,0.97,1.93,1.56,1.33,1.50,50,50,0,0,0,0,50,0,100,17.00,5.00,3.08,2.73,2.70,1.55,3.10,0.00,0.00,0.00,0.00,N/A
1769716800,Jan 29 2026 - 8:00pm,complete,N/A,Deportivo Riestra,Defensa y Justicia,Hernán Mastrángelo,2,0.00,1.00,0.69,1.19,0,1,1,1,0,1,"","29",4,3,5,0,3,0,4,1,0,3,12,5,2,3,10,2,19,10,54,46,0.74,1.04,1.40,0.90,0.50,0,0,0,0,0,0,0,0,50,5.00,5.00,2.14,2.80,3.55,1.60,3.10,6.28,12.00,2.35,1.53,Estadio Guillermo Laza
1769724900,Jan 29 2026 - 10:15pm,complete,N/A,Belgrano,Tigre,Andrés Merlos,2,3.00,3.00,1.80,1.25,1,1,2,0,0,0,"83","62",7,1,2,0,1,0,0,2,0,1,12,6,1,3,11,3,6,8,60,40,1.54,1.18,1.27,0.82,2.50,50,100,50,0,0,0,50,100,100,6.00,4.00,1.90,2.82,4.35,1.55,2.80,5.05,12.50,2.26,1.57,Estadio Julio César Villagra
1769724900,Jan 29 2026 - 10:15pm,complete,N/A,Lanús,Unión Santa Fe,Fernando Echenique,2,3.00,1.00,1.41,1.33,2,1,3,1,1,0,"45'3,56","66",5,7,3,0,1,1,0,3,1,1,15,15,6,5,9,10,7,9,60,40,1.61,1.62,1.70,1.62,2.50,50,50,50,50,50,50,50,50,50,11.00,6.00,2.05,2.90,4.20,1.60,2.70,5.10,12.50,2.30,1.57,Estadio Ciudad de Lanús - Néstor Díaz Pérez
1769733000,Jan 30 2026 - 12:30am,complete,N/A,Sarmiento,Banfield,Sebastián Nicolás Martinez,2,0.00,1.00,1.19,1.13,1,0,1,1,1,0,"45'6","",9,2,4,0,2,1,1,3,1,2,23,9,9,2,14,7,13,17,61,39,0.51,1.33,2.50,1.04,1.50,50,50,0,0,0,0,0,50,100,6.00,11.00,3.50,2.62,2.30,1.68,2.83,5.70,11.00,2.30,1.55,Estadio Eva Perón de Junín
1769733000,Jan 30 2026 - 12:30am,complete,N/A,Estudiantes Río Cuarto,Argentinos Juniors,Jorge Baliño,2,0.00,3.00,0.31,1.89,0,0,0,0,0,0,"","",1,6,2,0,0,0,0,2,0,0,7,13,0,4,7,9,15,12,26,74,1.15,2.85,0.82,1.56,1.50,0,50,0,0,0,0,0,50,100,15.00,6.00,5.25,3.10,1.80,1.53,2.85,6.00,13.00,2.40,1.51,Estadio Ciudad de Río Cuarto
1769891400,Jan 31 2026 - 8:30pm,complete,N/A,San Lorenzo,Central Córdoba SdE,Fernando Echenique,3,1.50,0.50,1.35,1.00,1,0,1,0,0,0,"55","",7,4,2,0,4,0,2,0,1,3,11,8,1,3,10,5,12,17,53,47,1.34,1.25,1.24,1.12,1.75,25,25,25,25,25,25,50,25,50,13.00,4.00,1.88,2.84,5.47,1.68,2.94,5.95,15.00,2.62,1.43,N/A
1769899500,Jan 31 2026 - 10:45pm,complete,N/A,Independiente,Vélez Sarsfield,N/A,3,1.00,3.00,1.41,1.65,1,1,2,2,1,1,"32","31",3,6,1,0,1,0,0,1,1,0,13,12,4,5,9,7,9,14,54,46,1.17,1.11,1.40,1.43,2.00,75,75,25,0,0,0,75,25,100,10.50,7.00,2.10,2.95,3.90,1.53,2.88,5.50,12.00,2.31,1.61,Estadio Libertadores de América
1769907600,Feb 01 2026 - 1:00am,complete,N/A,Atlético Tucumán,Huracán,Felipe Viola,3,0.50,0.50,0.88,1.39,1,1,2,1,1,0,"45'6","66",6,5,2,0,4,0,0,2,1,3,11,9,4,1,7,8,9,15,48,52,1.91,1.05,1.41,1.01,2.00,75,75,50,0,0,25,50,50,75,6.00,7.00,2.60,2.73,3.20,1.57,3.10,6.00,12.50,2.49,1.54,Estadio Monumental Presidente José Fierro
1769907600,Feb 01 2026 - 1:00am,complete,N/A,Talleres Córdoba,Platense,N/A,3,1.50,2.00,1.53,1.00,1,2,3,1,0,1,"51","21,83",6,2,2,0,4,0,1,1,0,4,12,5,2,2,10,3,13,7,60,40,2.05,1.33,1.25,0.68,2.25,75,75,75,0,0,0,50,75,75,12.50,3.50,1.98,2.80,4.33,1.62,2.80,6.75,14.00,2.40,1.51,Estadio Juan Domingo Perón
1769976000,Feb 01 2026 - 8:00pm,complete,N/A,Barracas Central,Deportivo Riestra,Bruno Amiconi,3,0.50,0.00,1.31,0.69,1,1,2,1,0,1,"90'14","24",0,2,6,0,5,0,0,6,2,3,11,9,4,2,7,7,8,19,64,36,1.26,1.07,1.44,1.24,0.75,0,0,0,0,0,0,25,0,50,6.00,6.00,3.12,2.33,2.85,1.95,3.94,9.00,18.00,2.68,1.43,Estadio Claudio Chiqui Tapia
1769984100,Feb 01 2026 - 10:15pm,complete,N/A,Boca Juniors,Newell's Old Boys,Darío Herrera,3,1.50,0.50,1.76,0.94,2,0,2,1,1,0,"40,56","",2,1,3,0,3,0,2,1,3,0,8,6,5,1,3,5,15,23,60,40,1.63,1.30,1.14,0.65,2.25,75,75,50,0,0,25,50,25,100,14.50,3.00,1.55,3.90,6.50,1.37,2.39,4.15,8.30,2.25,1.55,Estadio Alberto José Armando
1769992200,Feb 02 2026 - 12:30am,complete,N/A,Rosario Central,River Plate,Facundo Tello Figueroa,3,1.50,3.00,1.79,1.80,0,0,0,0,0,0,"","",6,3,2,0,4,0,1,1,2,2,9,17,3,4,6,13,6,8,34,66,1.52,2.08,1.26,1.87,2.25,50,75,50,0,0,25,75,25,75,9.00,5.50,2.80,2.90,2.87,1.53,2.65,5.30,11.00,2.06,1.68,Estadio 15 de Abril
1770064200,Feb 02 2026 - 8:30pm,complete,N/A,Gimnasia La Plata,Aldosivi,Juan Pafundi,3,1.50,1.00,1.61,0.50,3,1,4,2,1,1,"14,81,85","41",1,3,1,0,2,0,0,1,1,1,14,13,6,1,8,12,13,17,50,50,0.66,1.20,1.68,1.35,1.25,25,50,25,0,0,0,50,25,50,7.50,8.00,2.20,2.77,4.36,1.62,3.10,5.45,13.50,2.35,1.62,Estadio Juan Carmelo Zerillo
1770072300,Feb 02 2026 - 10:45pm,complete,N/A,Defensa y Justicia,Estudiantes,Ariel Penel,3,2.00,2.00,1.19,1.82,0,0,0,0,0,0,"","",3,0,1,0,1,1,0,1,2,0,14,9,6,1,8,8,8,8,63,37,0.97,1.26,1.56,0.81,1.50,50,50,25,0,0,25,75,0,50,8.50,4.50,2.93,2.80,2.41,1.53,2.70,5.50,13.50,2.15,1.62,Estadio Norberto Tito Tomaghello
1770072300,Feb 02 2026 - 10:45pm,complete,N/A,Tigre,Racing Club,Pablo Echavarría,3,2.00,0.00,1.25,1.33,3,1,4,1,1,0,"45'4,85,89","80",5,7,0,0,4,0,0,0,1,3,13,12,8,3,5,9,10,13,33,67,1.00,1.89,1.56,1.20,2.50,75,100,50,0,0,25,50,75,75,5.00,5.50,3.50,2.85,2.33,1.62,3.01,6.00,13.00,2.17,1.53,Estadio José Dellagiovanna
1770080400,Feb 03 2026 - 1:00am,complete,N/A,Argentinos Juniors,Belgrano,Pablo Dóvalo,3,2.00,2.00,1.89,1.80,0,0,0,0,0,0,"","",5,1,0,0,0,0,0,0,0,0,17,12,6,5,11,7,6,7,60,40,2.21,1.41,2.14,1.55,1.50,50,50,25,0,0,0,25,50,75,12.50,3.00,1.54,3.25,5.70,1.48,2.30,4.60,8.10,2.20,1.60,Estadio Diego Armando Maradona
1770080400,Feb 03 2026 - 1:00am,complete,N/A,Unión Santa Fe,Gimnasia Mendoza,N/A,3,0.50,1.50,1.33,1.19,4,0,4,2,2,0,"4,41,79,84","",3,1,1,0,1,1,1,0,2,0,17,4,7,1,10,3,10,8,58,42,1.62,1.23,1.97,0.53,1.25,25,25,25,0,0,0,50,25,50,8.00,3.50,1.72,2.95,4.70,1.57,2.63,4.95,13.00,2.30,1.53,Estadio 15 de Abril
1770156000,Feb 03 2026 - 10:00pm,complete,N/A,Banfield,Estudiantes Río Cuarto,Sebastían Zunino,3,0.50,0.50,1.13,0.31,2,1,3,1,0,1,"57,88","14",4,2,2,0,2,0,0,2,0,2,14,15,4,5,10,10,7,13,57,43,1.18,0.99,1.56,1.80,1.25,25,50,0,0,0,0,25,50,50,6.50,6.50,1.90,2.90,3.95,1.61,2.87,5.25,12.00,2.38,1.53,N/A
1770164100,Feb 04 2026 - 12:15am,complete,N/A,Instituto,Lanús,Brian Ferreyra,3,0.00,3.00,1.31,1.41,2,2,4,1,1,0,"25,90'3","71,54",3,3,3,0,3,0,2,1,2,1,11,11,4,7,7,4,14,13,50,50,1.49,1.65,1.33,1.55,3.00,75,75,75,25,25,25,75,75,100,9.50,6.00,2.86,2.54,2.57,1.64,2.85,6.61,13.00,2.15,1.62,Estadio Presidente Juan Domingo Perón
1770164100,Feb 04 2026 - 12:15am,complete,N/A,Independiente Rivadavia,Sarmiento,Luis Lobo Medina,3,3.00,1.50,2.00,1.19,2,1,3,1,1,0,"21,52","69",4,1,0,0,3,0,0,0,3,0,19,16,8,7,11,9,6,8,41,59,1.22,1.51,2.16,1.89,2.00,50,50,50,0,0,25,75,25,75,8.50,8.50,1.64,3.25,4.15,1.58,2.57,5.50,13.00,2.38,1.50,Estadio Juan Bautista Gargantini
1770422400,Feb 07 2026 - 12:00am,complete,N/A,Central Córdoba SdE,Unión Santa Fe,Andrés Merlos,4,0.33,1.33,1.00,1.33,1,0,1,0,0,0,"76","",3,2,1,0,2,0,0,1,0,2,9,16,3,2,6,14,11,16,49,51,1.21,1.74,1.23,1.56,1.50,17,34,34,17,0,17,50,34,50,11.00,5.00,3.16,2.77,2.56,1.62,3.10,6.87,13.50,2.33,1.54,N/A
1770494400,Feb 07 2026 - 8:00pm,complete,N/A,Aldosivi,Rosario Central,Fernando Espinoza,4,0.67,1.33,0.50,1.79,1,1,2,1,0,1,"87","4",7,4,3,0,1,0,1,2,1,0,15,10,4,4,11,6,20,10,38,62,1.25,1.43,1.69,1.32,1.67,50,50,50,17,0,33,50,33,33,7.33,6.00,4.00,2.90,2.20,1.70,3.40,6.50,15.00,2.45,1.45,Estadio José María Minella
1770498000,Feb 07 2026 - 9:00pm,complete,N/A,Racing Club,Argentinos Juniors,Hernán Mastrángelo,4,0.00,1.67,1.33,1.89,2,1,3,2,2,0,"20,44","47",4,7,3,0,3,0,2,1,1,2,14,12,3,5,11,7,16,14,49,51,1.66,2.19,1.55,1.55,1.83,50,50,50,17,0,17,50,34,50,11.00,4.67,2.62,3.00,3.04,1.44,2.34,5.05,9.00,2.00,1.75,Estadio Presidente Juan Domingo Perón
1770505200,Feb 07 2026 - 11:00pm,complete,N/A,River Plate,Tigre,Sebastían Zunino,4,2.33,2.33,1.80,1.25,1,4,5,2,0,2,"89","6,16,49,68",7,2,2,1,4,0,0,3,0,4,17,11,5,6,12,5,9,13,71,29,2.01,1.19,1.76,1.24,1.84,34,67,17,17,0,0,33,50,84,8.00,4.33,1.57,3.65,6.00,1.38,2.35,4.67,8.10,2.30,1.57,Estadio Monumental Antonio Vespucio Liberti
1770513300,Feb 08 2026 - 1:15am,complete,N/A,Belgrano,Banfield,Sebastián Nicolás Martinez,4,1.67,1.33,1.80,1.13,1,0,1,0,0,0,"54","",11,1,4,0,2,0,0,4,1,1,16,6,7,3,9,3,17,9,63,37,1.45,1.31,1.98,0.88,1.84,67,67,33,0,0,0,50,67,67,7.00,4.33,1.95,3.25,4.20,1.44,2.25,3.95,7.70,1.95,1.75,Estadio Julio César Villagra
1770513300,Feb 08 2026 - 1:15am,complete,N/A,Newell's Old Boys,Defensa y Justicia,Felipe Viola,4,0.33,1.67,0.94,1.19,2,3,5,2,0,2,"76,90'7","31,45'4,63",7,1,4,0,1,0,2,2,0,1,23,4,7,3,16,1,15,14,58,42,1.09,1.17,2.52,0.68,1.33,34,50,17,0,0,0,50,17,50,7.00,3.66,2.03,2.91,4.04,1.60,2.94,6.00,12.50,2.25,1.57,Estadio Marcelo Alberto Bielsa
1770580800,Feb 08 2026 - 8:00pm,complete,N/A,Sarmiento,Atlético Tucumán,Ariel Penel,4,1.00,0.67,1.19,0.88,2,1,3,2,2,0,"19,36","71",3,4,3,0,5,1,2,1,3,3,12,5,6,3,6,2,18,14,49,51,1.63,1.74,1.59,1.07,1.67,50,50,33,0,0,17,67,17,67,8.67,7.34,2.70,2.88,2.78,1.56,2.50,5.00,11.00,2.10,1.67,Estadio Eva Perón de Junín
1770580800,Feb 08 2026 - 8:00pm,complete,N/A,Platense,Independiente,Pablo Dóvalo,4,2.33,1.00,1.00,1.41,0,1,1,0,0,0,"","64",4,1,0,0,4,0,0,0,0,4,5,10,1,5,4,5,12,9,51,49,1.11,1.25,0.76,1.35,2.00,84,84,34,0,0,17,84,34,67,8.33,5.33,3.12,2.75,2.70,1.74,3.08,6.25,19.00,2.40,1.50,Estadio Ciudad de Vicente López
