dt,gw,status,home,away,pH,pD,pA,pO25,o1,ox,o2,o25,iH,iD,iA,hg,ag,res
2026-05-10 20:00:00,,complete,Estudiantes,Racing Club,0.5025130996217726,0.23328183142239267,0.2642050689558348,0.6283446770232098,2.29,2.93,3.15,2.5,0.39863601221455813,0.3115619344612075,0.2898020533242343,0,1,A
2026-05-10 22:00:00,,complete,River Plate,San Lorenzo,0.5866645705832949,0.21162597297110525,0.20170945644559984,0.656948610150769,1.6,3.33,5.75,2.5,0.56858843966682,0.2731956466867604,0.1582159136464195,2,2,D
2026-05-11 00:30:00,,complete,Vélez Sarsfield,Gimnasia La Plata,0.44554959708713904,0.25441266740473256,0.3000377355081284,0.5592071414419646,2.1,3.1,3.9,2.59,0.4512877939529675,0.3057110862262038,0.2430011198208287,0,1,A
2026-05-12 22:00:00,,complete,Belgrano,Unión Santa Fe,0.3219152219308045,0.2343009677133906,0.4437838103558047,0.6575685683926003,2.28,3.0,2.82,2.6,0.38933068257123926,0.2958913187541418,0.314777998674619,2,0,H
2026-05-13 00:30:00,,complete,Argentinos Juniors,Huracán,0.547702185040976,0.22502708832272164,0.22727072663630238,0.6295766167550125,1.84,2.9,4.19,2.63,0.482247604835573,0.30597779065429465,0.2117746045101323,1,0,H
2026-05-13 21:45:00,,complete,Rosario Central,Racing Club,0.5066038480557122,0.2314777853238653,0.2619183666204226,0.6344797392551393,2.3,2.9,3.5,2.75,0.40812223562525135,0.3236831523924407,0.268194611982308,2,1,H
2026-05-14 00:45:00,,complete,River Plate,Gimnasia La Plata,0.5845899683320813,0.20833399619397636,0.20707603547394243,0.679060573203516,1.53,4.0,6.45,2.27,0.6173947377867117,0.23615348720341722,0.14645177500987114,2,0,H
2026-05-16 22:30:00,,complete,River Plate,Rosario Central,0.4987589856882845,0.21125888115074248,0.28998213316097293,0.7460177513848396,2.07,2.9,4.0,2.73,0.44817061391647023,0.3199010933817563,0.23192829270177334,1,0,H
2026-05-17 20:00:00,,complete,Argentinos Juniors,Belgrano,0.5198260407314775,0.226977812324511,0.25319614694401166,0.6469817743021171,2.05,2.9,4.33,3.1,0.4586445568603101,0.3242142557115985,0.21714118742809135,1,1,D
2026-05-24 18:30:00,,complete,River Plate,Belgrano,0.570393850469067,0.20978582686463226,0.21982032266630083,0.6888196746024273,2.23,2.9,3.9,2.85,0.4272116038377276,0.32851099191659744,0.24427740424567504,2,3,A
2026-07-23 22:30:00,1.0,incomplete,Sarmiento,Argentinos Juniors,0.2723474189567437,0.23803455587520914,0.48961802516804726,0.6135864888667771,4.28,2.96,2.08,2.85,0.22204270051933062,0.3210617426428159,0.4568955568378534,0,0,D
2026-07-23 22:30:00,1.0,incomplete,Belgrano,Rosario Central,0.36583485951914996,0.24546636202681646,0.38869877845403367,0.6165438333642803,2.82,2.85,2.87,3.1,0.33646785877358604,0.33292609183912725,0.3306060493872866,0,0,D
2026-07-24 00:45:00,1.0,incomplete,Defensa y Justicia,Aldosivi,0.46773215790768824,0.2617550419365877,0.27051280015572404,0.5126736967528353,1.88,3.22,4.74,2.45,0.5049292699387314,0.2948034246847252,0.20026730537654328,0,0,D
2026-07-24 19:45:00,1.0,incomplete,Gimnasia Mendoza,Central Córdoba SdE,0.46066682898218625,0.2726598047586787,0.2666733662591348,0.46816831165966,2.21,3.12,3.58,0.0,0.4299869882894605,0.30457411670503454,0.26543889500550494,0,0,D
2026-07-24 22:00:00,1.0,incomplete,Vélez Sarsfield,Instituto,0.4451462630937376,0.24184433292266144,0.313009403983601,0.6198859662346092,2.07,3.08,4.1,0.0,0.45935701658021283,0.308723709195143,0.23191927422464406,0,0,D
2026-07-24 22:00:00,1.0,incomplete,Racing Club,Gimnasia La Plata,0.41756265765154454,0.25993512960286386,0.32250221274559177,0.5443960716726939,1.83,3.31,4.89,0.0,0.5189135640983717,0.28689178921450764,0.19419464668712072,0,0,D
2026-07-25 00:15:00,1.0,incomplete,Huracán,Banfield,0.4123228131321768,0.2603464268178383,0.32733076004998496,0.5440268353924712,2.1,2.95,4.22,0.0,0.45259216171017225,0.3221842507089362,0.22522358758089142,0,0,D
2026-07-25 00:15:00,1.0,incomplete,Platense,Unión Santa Fe,0.3122651146454271,0.22819200450005514,0.4595428808545178,0.6813229324180146,2.84,2.93,2.78,0.0,0.3343513205099788,0.3240811434294674,0.3415675360605539,0,0,D
2026-07-25 17:45:00,1.0,incomplete,Estudiantes Río Cuarto,Tigre,0.2672814657743021,0.24137938194713834,0.49133915227855957,0.5953109130630314,4.12,3.0,2.1,0.0,0.2306678383128295,0.3167838312829525,0.4525483304042178,0,0,D
2026-07-25 20:00:00,1.0,incomplete,Newell's Old Boys,Talleres Córdoba,0.3570561089289126,0.26242164581254396,0.3805222452585434,0.5402226527104135,2.81,2.91,2.83,0.0,0.33800128874970753,0.3263861241878619,0.33561258706243047,0,0,D
2026-07-25 22:15:00,1.0,incomplete,River Plate,Barracas Central,0.594462803836765,0.20642181351566635,0.19911538264756884,0.6766339651275777,1.47,4.05,8.0,2.1,0.6465323715166571,0.23466730521715706,0.11880032326618575,0,0,D
2026-07-26 00:30:00,1.0,incomplete,Lanús,San Lorenzo,0.4465312836088835,0.2601821561973418,0.29328656019377464,0.5318235535687336,2.11,2.95,4.18,0.0,0.4504425522277381,0.322180944135772,0.2273765036364898,0,0,D
2026-07-26 18:00:00,1.0,incomplete,Atlético Tucumán,Independiente Rivadavia,0.30577308319844243,0.23450557846704118,0.4597213383345163,0.6495370276754715,2.66,3.1,2.83,0.0,0.35739892776247817,0.3066713380155458,0.335929734221976,0,0,D
2026-07-26 20:15:00,1.0,incomplete,Estudiantes,Independiente,0.474595450776911,0.23477713523276203,0.290627413990327,0.6400523979683876,2.29,2.98,3.56,0.0,0.4146427259296317,0.31863484643585793,0.2667224276345103,0,0,D
2026-07-26 22:30:00,1.0,incomplete,Deportivo Riestra,Boca Juniors,0.286298855346378,0.24658262403599324,0.4671185206176287,0.585496517855443,4.22,2.99,2.08,0.0,0.22521419828641376,0.3178608417286508,0.45692495998493554,0,0,D
2026-07-28 22:00:00,2.0,incomplete,San Lorenzo,Gimnasia Mendoza,0.4136038913265088,0.2693896770774923,0.31700643159599895,0.5036017261140846,0.0,0.0,0.0,0.0,,,,0,0,D
2026-07-28 22:00:00,2.0,incomplete,Banfield,Sarmiento,0.44346289354967383,0.26063596715713294,0.29590113929319306,0.5312081723317241,0.0,0.0,0.0,0.0,,,,0,0,D
2026-07-29 00:15:00,2.0,incomplete,Rosario Central,Racing Club,0.5146764328849074,0.23080314279675934,0.25452042431833327,0.6312068136647501,0.0,0.0,0.0,0.0,,,,0,0,D
2026-07-29 00:15:00,2.0,incomplete,Argentinos Juniors,Estudiantes Río Cuarto,0.6692851475340267,0.18603456941838284,0.1446802830475903,0.6725662400982964,0.0,0.0,0.0,0.0,,,,0,0,D
2026-07-29 17:30:00,2.0,incomplete,Barracas Central,Aldosivi,0.4917254677646651,0.2546218831472222,0.25365264908811275,0.5293918181716389,0.0,0.0,0.0,0.0,,,,0,0,D
2026-07-29 20:00:00,2.0,incomplete,Defensa y Justicia,Deportivo Riestra,0.44292440194712734,0.26441046346697367,0.29266513458589904,0.514280167831668,0.0,0.0,0.0,0.0,,,,0,0,D
2026-07-29 22:15:00,2.0,incomplete,Gimnasia La Plata,River Plate,0.29302797939714137,0.23240073902832784,0.4745712815745308,0.6521369339163359,0.0,0.0,0.0,0.0,,,,0,0,D
2026-07-30 00:30:00,2.0,incomplete,Instituto,Platense,0.4642197168191545,0.24229705213618072,0.2934832310446647,0.6083104675749829,0.0,0.0,0.0,0.0,,,,0,0,D
2026-07-30 22:00:00,2.0,incomplete,Talleres Córdoba,Vélez Sarsfield,0.38542708923348207,0.25206773807641525,0.3625051726901029,0.5862841003524794,0.0,0.0,0.0,0.0,,,,0,0,D
2026-07-30 22:00:00,2.0,incomplete,Independiente Rivadavia,Huracán,0.5519813777668641,0.22421262073408713,0.2238060014990489,0.6292326498046062,0.0,0.0,0.0,0.0,,,,0,0,D
2026-07-31 00:15:00,2.0,incomplete,Independiente,Newell's Old Boys,0.5007347172890179,0.24288761100556333,0.25637767170541875,0.5803226755918605,0.0,0.0,0.0,0.0,,,,0,0,D
2026-07-31 00:15:00,2.0,incomplete,Central Córdoba SdE,Atlético Tucumán,0.331257562279612,0.2701639207378141,0.3985785169825736,0.5040840149527666,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-01 18:30:00,3.0,incomplete,Estudiantes Río Cuarto,Banfield,0.3128601190393997,0.25959004740604336,0.4275498335545567,0.5426445184718611,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-01 18:30:00,3.0,incomplete,Gimnasia Mendoza,Unión Santa Fe,0.28615840051165553,0.2329848139495444,0.4808567855388002,0.6453216209614329,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-01 21:00:00,3.0,incomplete,Estudiantes,Defensa y Justicia,0.5386439663582789,0.23287495876048,0.2284810748812412,0.5967935458993663,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-01 21:00:00,3.0,incomplete,Belgrano,Argentinos Juniors,0.3405577402001781,0.23959058665614785,0.41985167314367405,0.6393727842150067,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-01 23:30:00,3.0,incomplete,Racing Club,Tigre,0.3829812411292431,0.24727830456763958,0.3697404543031172,0.6084547963040441,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-02 17:30:00,3.0,incomplete,Deportivo Riestra,Barracas Central,0.3582934343565561,0.2665776978740812,0.37512886776936283,0.5225261768107918,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-02 17:30:00,3.0,incomplete,Aldosivi,Gimnasia La Plata,0.3191584018942109,0.26635750205088127,0.41448409605490777,0.5165907528559288,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-02 20:00:00,3.0,incomplete,Newell's Old Boys,Boca Juniors,0.30954350625794474,0.24938570286753672,0.44107079087451845,0.5850982294105018,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-02 22:15:00,3.0,incomplete,River Plate,Rosario Central,0.4964959101965036,0.21545003371747726,0.28805405608601914,0.7258226038081992,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-03 00:30:00,3.0,incomplete,Lanús,Instituto,0.3969251936337438,0.25124434073721746,0.35183046562903886,0.5888270073232519,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-03 19:45:00,3.0,incomplete,Sarmiento,Independiente Rivadavia,0.27764160674884686,0.24180145146475895,0.4805569417863941,0.6007920207549577,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-03 22:00:00,3.0,incomplete,Vélez Sarsfield,Independiente,0.4403170531379741,0.24279116471894097,0.31689178214308483,0.6172482374144507,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-03 22:00:00,3.0,incomplete,Platense,Talleres Córdoba,0.3969074387376644,0.2547442365707434,0.34834832469159216,0.5727494094736985,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-04 00:15:00,3.0,incomplete,Huracán,Atlético Tucumán,0.41820574712954517,0.2562730888677279,0.325521164002727,0.5609549421915072,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-04 00:15:00,3.0,incomplete,Central Córdoba SdE,San Lorenzo,0.3392970388805634,0.2829635180800918,0.3777394430393448,0.45479004507171406,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-05 22:00:00,2.0,incomplete,Boca Juniors,Estudiantes,0.419793442442159,0.23774326882887348,0.3424632887289676,0.6483051208454091,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-06 00:15:00,2.0,incomplete,Tigre,Belgrano,0.4398753735746012,0.24456688924923,0.31555773717616886,0.6088012285203277,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-06 22:00:00,2.0,incomplete,Unión Santa Fe,Lanús,0.5445145386814857,0.21662657085813478,0.23885889046037959,0.6794317299625678,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Talleres Córdoba,Lanús,0.42428309840721773,0.2560702843665247,0.3196466172262576,0.5599812616488028,0.0,0.0,0.0,0.0,,,,0,0,D
